id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugy0kK2uCV-JotCUHu14AaABAg,0,0,"2024-04-05 17:47:30",@user-fo6sq9xg7o,"العربية الصهيونية لا تصف الكيان الصهيوني بالاحتلال قبحكم الله",UCM3bpeuyBv3TK8ND08TygCA,http://www.youtube.com/@user-fo6sq9xg7o,0,,
Ugw-TdBaH46dOFeQGOF4AaABAg,0,0,"2024-04-05 04:47:01",@nihadsalki3708,"استخدموا عقولكم! أفيقوا! حماس ما هي إلا أداة يستعملها إسرائيل و صهاينة العالم، حتى يقتلوا إخواننا الفلسطينيين المسلمين هناك! فقط لعبة بينهم لإبادة الشعب الفلسطيني لا غير!",UCn3Fu-1rprwbUwJKf9xOsyQ,http://www.youtube.com/@nihadsalki3708,0,,
UgyVOsldGYVqMegGhYV4AaABAg,0,0,"2024-04-01 19:22:17",@mohmadgamer8335,"بعد5 اشهر❤❤",UCHJ9V6_2r64_u9apr2EYC4A,http://www.youtube.com/@mohmadgamer8335,0,,
UgyUMViFdmFPyoj7w5V4AaABAg,0,0,"2024-03-15 05:47:13",@user-kx1tf4vx1i,"تجنبوا الاختلاط والتبرج استعدوا لاخرتكم ولا تغرنكم الحياة الدنيا (يَا أَيُّهَا النَّبِيُّ قُل لِّأَزْوَاجِكَ وَبَنَاتِكَ وَنِسَاءِ الْمُؤْمِنِينَ يُدْنِينَ عَلَيْهِنَّ مِن جَلَابِيبِهِنَّ ۚ ذَٰلِكَ أَدْنَىٰ أَن يُعْرَفْنَ فَلَا يُؤْذَيْنَ ۗ وَكَانَ اللَّهُ غَفُورًا رَّحِيمًا (59)",UCl07uQgCLyLuPFAywEWQjGA,http://www.youtube.com/@user-kx1tf4vx1i,0,,
UgzIIwgPaBDCvfwjUA94AaABAg,0,0,"2024-03-12 10:41:05",@1490063,"بس حماس هنا معتديه لان الطرفين كانوا عايشين بسلام 🤔 ان الله لا يحب المعتدين",UCeo7hRqyRHcIxdq-5aarwyA,http://www.youtube.com/@1490063,0,,
Ugw26XCRNrMDVt7pb0R4AaABAg,0,1,"2023-12-22 18:33:39",@kamalzoro,"😂التقرير كله تضليل واكاذيب ،،لنفترض ان حماس تمكنت من اقتحام الجدار ولكن كيف يفسر عدم دخول الطيران الاسرائلي الا بعد مرور ساعات عدة 😅يعني اسرائيل هشة حتى لهذه الدرجة ،،ارحمو عقولنا يا ناس ،،العملية خططت من زمااااااان ونفذت باحكااام وحماااس تعرف كل شيء .",UC6ZuJm4Xcr3IIWOfL7u9L-Q,http://www.youtube.com/@kamalzoro,0,,
UgwHABFOhBRAL0ueFMd4AaABAg,0,0,"2023-12-22 04:08:53",@user-fj8zs7ve3q,"اللهم صل وسلم وبارك على سيدنا ونبينا محمد وعلى آله وصحبه أجمعين وسلم تسليما كثيرا",UCt58w6xc-nwWSsLDIstuDWw,http://www.youtube.com/@user-fj8zs7ve3q,0,,
UgxGGYGaq7cS64fikEB4AaABAg,6,0,"2023-11-07 16:20:52",@josephmoma9556,"الرب يسوع المسيح يحمي اسرئيل من شر شريعة محمد الشيطان ومن شر الرهابين",UCGlWv1v-ugZ55ywstVkSb5g,http://www.youtube.com/@josephmoma9556,0,,
UgxGGYGaq7cS64fikEB4AaABAg.9wozspcHz3qA-zXFaYG4cm,,0,"2024-02-19 04:39:11",@user-ub7lc1di3h,"الله ياخدك، حسبنا الله و نعم الوكيل فيك يا عديم القلب و ما ذنب المدنيين من اطفال و شيوخ الآن يا حقير",UCIWjXzrAu73s1SJmrjWoNdw,http://www.youtube.com/@user-ub7lc1di3h,1,UgxGGYGaq7cS64fikEB4AaABAg,@josephmoma9556
UgxGGYGaq7cS64fikEB4AaABAg.9wozspcHz3qA-zXX7BAFxk,,0,"2024-02-19 04:41:35",@user-ub7lc1di3h,"منذ متى و محمد صلى الله عليه وسلم شيطان يا اهبل يا جاهل يا حمار الجاموس افضل منك جاء ليدعونا للرحمه و النجاه هؤلاء اصحاب ارض و حقهم الدفاع انت ترى الان ما فعلته اسرائيل اتراه هو الشيطان الان! انعدام الانسانيه مسيطر عليك و ان كنت مسيحيا أليس دينك دين المحبه؟",UCIWjXzrAu73s1SJmrjWoNdw,http://www.youtube.com/@user-ub7lc1di3h,1,UgxGGYGaq7cS64fikEB4AaABAg,@josephmoma9556
